Lat,Long,Vp,Vs,Rho
-89.0,-78.0,6.5559899999999995,3.74357,2774.42
-89.0,-77.0,6.5559899999999995,3.74357,2774.42
-89.0,-76.0,6.5559899999999995,3.74357,2774.42
-89.0,-75.0,6.5559899999999995,3.74357,2774.42
-89.0,-74.0,6.5559899999999995,3.74357,2774.42
-89.0,-73.0,6.5559899999999995,3.74357,2774.42
-89.0,-72.0,6.5559899999999995,3.74357,2774.42
-89.0,-71.0,6.5559899999999995,3.74357,2774.42
-89.0,-70.0,6.5559899999999995,3.74357,2774.42
-89.0,-69.0,6.5559899999999995,3.74357,2774.42
-89.0,-68.0,6.5559899999999995,3.74357,2774.42
-89.0,-67.0,6.5559899999999995,3.74357,2774.42
-89.0,-66.0,6.5559899999999995,3.74357,2774.42
-89.0,-65.0,6.5559899999999995,3.74357,2774.42
-89.0,-64.0,6.5559899999999995,3.74357,2774.42
-89.0,-63.0,6.5559899999999995,3.74357,2774.42
-89.0,-62.0,6.5559899999999995,3.74357,2774.42
-89.0,-61.0,6.5559899999999995,3.74357,2774.42
-89.0,-60.0,6.5559899999999995,3.74357,2774.42
-89.0,-59.0,6.5559899999999995,3.74357,2774.42
-89.0,-58.0,6.5559899999999995,3.74357,2774.42
-89.0,-57.0,6.5559899999999995,3.74357,2774.42
-89.0,-56.0,6.5559899999999995,3.74357,2774.42
-89.0,-55.0,6.5559899999999995,3.74357,2774.42
-89.0,-54.0,6.5559899999999995,3.74357,2774.42
-89.0,-53.0,6.5559899999999995,3.74357,2774.42
-89.0,-52.0,6.5559899999999995,3.74357,2774.42
-89.0,-51.0,6.5559899999999995,3.74357,2774.42
-89.0,-50.0,6.5559899999999995,3.74357,2774.42
-89.0,-49.0,6.5559899999999995,3.74357,2774.42
-89.0,-48.0,6.5559899999999995,3.74357,2774.42
-89.0,-47.0,6.64116,3.7922,2810.46
-89.0,-46.0,6.63304,3.78756,2807.02
-89.0,-45.0,6.62491,3.7829200000000003,2803.59
-89.0,-44.0,6.61679,3.77828,2800.15
-89.0,-43.0,6.54537,3.7375,2769.92
-89.0,-42.0,6.54701,3.73844,2770.62
-89.0,-41.0,6.548640000000001,3.73937,2771.31
