Lat,Long,Top of upper,top of middle,top of lower,bottom of lower
-89.0,-180.0,-2.296,55.876,112.35,168.861
-89.0,-179.0,0.751,10.378,19.717,29.059
-89.0,-178.0,0.753,10.38,19.72,29.062
-89.0,-177.0,0.754,10.382,19.722,29.065
-89.0,-176.0,0.756,10.385,19.725,29.068
-89.0,-175.0,0.758,10.387,19.728,29.071
-89.0,-174.0,0.759,10.389,19.73,29.074
-89.0,-173.0,0.761,10.391,19.733,29.078
-89.0,-172.0,0.448,11.605,22.434,33.254
-89.0,-171.0,0.451,11.604,22.429,33.245
-89.0,-170.0,0.454,11.602,22.424,33.236
-89.0,-169.0,0.456,11.601,22.419,33.227
-89.0,-168.0,0.358,11.751,22.819,33.873
-89.0,-167.0,0.361,11.749,22.813,33.863
-89.0,-166.0,0.363,11.747,22.806,33.852
-89.0,-165.0,0.366,11.745,22.8,33.841
-89.0,-164.0,0.369,11.744,22.794,33.83
-89.0,-163.0,0.372,11.742,22.787,33.82
-89.0,-162.0,0.375,11.74,22.781,33.809
-89.0,-161.0,0.378,11.738,22.775,33.798
-89.0,-160.0,0.381,11.737,22.769,33.787
-89.0,-159.0,0.384,11.735,22.762,33.776
-89.0,-158.0,0.386,11.733,22.756,33.766
-89.0,-157.0,0.389,11.731,22.75,33.755
-89.0,-156.0,0.392,11.73,22.743,33.744
-89.0,-155.0,0.395,11.728,22.737,33.733
-89.0,-154.0,0.398,11.726,22.731,33.723
-89.0,-153.0,0.401,11.724,22.725,33.712
-89.0,-152.0,0.404,11.723,22.718,33.701
-89.0,-151.0,0.407,11.721,22.712,33.69
-89.0,-150.0,0.41,11.719,22.706,33.68
-89.0,-149.0,0.412,11.718,22.699,33.669
-89.0,-148.0,0.415,11.716,22.693,33.658
-89.0,-147.0,0.418,11.714,22.687,33.647
-89.0,-146.0,0.421,11.712,22.681,33.637
-89.0,-145.0,0.424,11.711,22.674,33.626
-89.0,-144.0,0.427,11.709,22.668,33.615
-89.0,-143.0,0.43,11.707,22.662,33.604
-89.0,-142.0,0.433,11.705,22.655,33.593
-89.0,-141.0,0.435,11.704,22.649,33.583
-89.0,-140.0,0.438,11.702,22.643,33.572
-89.0,-139.0,0.441,11.7,22.637,33.561
-89.0,-138.0,0.444,11.698,22.63,33.55
-89.0,-137.0,0.447,11.697,22.624,33.54
-89.0,-136.0,0.45,11.695,22.618,33.529
-89.0,-135.0,0.453,11.693,22.611,33.518
-89.0,-134.0,0.456,11.691,22.605,33.507
-89.0,-133.0,0.459,11.69,22.599,33.497
-89.0,-132.0,0.461,11.688,22.593,33.486
-89.0,-131.0,0.464,11.686,22.586,33.475
-89.0,-130.0,0.467,11.684,22.58,33.464
-89.0,-129.0,0.47,11.683,22.574,33.454
-89.0,-128.0,0.473,11.681,22.568,33.443
-89.0,-127.0,0.476,11.679,22.561,33.432
-89.0,-126.0,0.479,11.677,22.555,33.421
-89.0,-125.0,0.482,11.676,22.549,33.41
-89.0,-124.0,0.484,11.674,22.542,33.4
-89.0,-123.0,0.487,11.672,22.536,33.389
-89.0,-122.0,0.49,11.671,22.53,33.378
-89.0,-121.0,0.493,11.669,22.524,33.367
-89.0,-120.0,0.496,11.667,22.517,33.357
-89.0,-119.0,0.455,11.73,22.686,33.629
-89.0,-118.0,0.462,11.722,22.663,33.591
-89.0,-117.0,0.469,11.715,22.64,33.553
-89.0,-116.0,0.476,11.707,22.617,33.516
-89.0,-115.0,0.426,11.47,22.196,32.911
-89.0,-114.0,0.442,11.498,22.235,32.961
-89.0,-113.0,0.458,11.525,22.273,33.011
-89.0,-112.0,0.474,11.552,22.311,33.06
-89.0,-111.0,0.489,11.579,22.35,33.11
-89.0,-110.0,0.505,11.607,22.388,33.159
-89.0,-109.0,0.521,11.634,22.427,33.209
-89.0,-108.0,0.537,11.661,22.465,33.259
-89.0,-107.0,0.535,11.674,22.492,33.301
-89.0,-106.0,0.533,11.687,22.52,33.343
-89.0,-105.0,0.531,11.7,22.547,33.386
-89.0,-104.0,0.529,11.713,22.575,33.428
-89.0,-103.0,0.527,11.726,22.602,33.47
-89.0,-102.0,0.525,11.739,22.63,33.513
-89.0,-101.0,0.523,11.752,22.657,33.555
-89.0,-100.0,0.588,11.756,22.6,33.437
-89.0,-99.0,0.595,11.767,22.616,33.458
-89.0,-98.0,0.602,11.779,22.633,33.479
-89.0,-97.0,0.609,11.791,22.649,33.5
-89.0,-96.0,0.632,11.733,22.516,33.29
-89.0,-95.0,0.64,11.739,22.519,33.291
-89.0,-94.0,0.649,11.745,22.522,33.292
-89.0,-93.0,0.657,11.751,22.525,33.293
-89.0,-92.0,0.665,11.756,22.529,33.293
-89.0,-91.0,0.674,11.762,22.532,33.294
-89.0,-90.0,0.682,11.768,22.535,33.295
-89.0,-89.0,0.69,11.773,22.538,33.296
-89.0,-88.0,0.699,11.779,22.541,33.297
-89.0,-87.0,0.707,11.785,22.545,33.298
-89.0,-86.0,0.715,11.791,22.548,33.298
-89.0,-85.0,0.724,11.796,22.551,33.299
-89.0,-84.0,0.732,11.802,22.554,33.3
-89.0,-83.0,0.74,11.808,22.557,33.301
-89.0,-82.0,0.749,11.813,22.56,33.302
-89.0,-81.0,0.757,11.819,22.564,33.303
-89.0,-80.0,0.765,11.825,22.567,33.303
-89.0,-79.0,0.774,11.83,22.57,33.304
-89.0,-78.0,0.782,11.836,22.573,33.305
-89.0,-77.0,0.79,11.842,22.576,33.306
-89.0,-76.0,0.799,11.848,22.58,33.307
-89.0,-75.0,0.807,11.853,22.583,33.308
-89.0,-74.0,0.815,11.859,22.586,33.308
-89.0,-73.0,0.824,11.865,22.589,33.309
-89.0,-72.0,0.832,11.87,22.592,33.31
-89.0,-71.0,0.84,11.876,22.596,33.311
-89.0,-70.0,0.849,11.882,22.599,33.312
-89.0,-69.0,0.857,11.888,22.602,33.313
-89.0,-68.0,0.865,11.893,22.605,33.313
-89.0,-67.0,0.874,11.899,22.608,33.314
-89.0,-66.0,0.882,11.905,22.612,33.315
-89.0,-65.0,0.89,11.91,22.615,33.316
-89.0,-64.0,0.899,11.916,22.618,33.317
-89.0,-63.0,0.907,11.922,22.621,33.318
-89.0,-62.0,0.915,11.928,22.624,33.318
-89.0,-61.0,0.924,11.933,22.628,33.319
-89.0,-60.0,0.932,11.939,22.631,33.32
-89.0,-59.0,0.94,11.945,22.634,33.321
-89.0,-58.0,0.949,11.95,22.637,33.322
-89.0,-57.0,0.957,11.956,22.64,33.323
-89.0,-56.0,0.965,11.962,22.644,33.323
-89.0,-55.0,0.974,11.967,22.647,33.324
-89.0,-54.0,0.982,11.973,22.65,33.325
-89.0,-53.0,0.99,11.979,22.653,33.326
-89.0,-52.0,0.999,11.985,22.656,33.327
-89.0,-51.0,1.007,11.99,22.66,33.328
-89.0,-50.0,1.015,11.996,22.663,33.328
-89.0,-49.0,1.024,12.002,22.666,33.329
-89.0,-48.0,1.032,12.007,22.669,33.33
-89.0,-47.0,0.934,12.485,23.691,34.904
-89.0,-46.0,0.952,12.446,23.597,34.755
-89.0,-45.0,0.971,12.406,23.503,34.606
-89.0,-44.0,0.989,12.367,23.409,34.457
-89.0,-43.0,0.897,11.929,22.644,33.364
-89.0,-42.0,0.933,11.951,22.654,33.36
-89.0,-41.0,0.968,11.973,22.663,33.356
-89.0,-40.0,1.004,11.996,22.673,33.353
-89.0,-39.0,1.039,12.018,22.682,33.349
-89.0,-38.0,1.075,12.04,22.692,33.345
-89.0,-37.0,1.11,12.062,22.701,33.342
-89.0,-36.0,1.146,12.084,22.711,33.338
-89.0,-35.0,1.184,12.13,22.763,33.396
-89.0,-34.0,1.223,12.175,22.815,33.455
-89.0,-33.0,1.261,12.22,22.866,33.513
-89.0,-32.0,1.299,12.266,22.918,33.572
-89.0,-31.0,1.338,12.311,22.97,33.63
-89.0,-30.0,1.376,12.356,23.022,33.689
-89.0,-29.0,1.414,12.401,23.074,33.747
-89.0,-28.0,1.475,12.489,23.187,33.885
-89.0,-27.0,1.516,12.54,23.247,33.954
-89.0,-26.0,1.557,12.591,23.308,34.023
-89.0,-25.0,1.599,12.642,23.368,34.092
-89.0,-24.0,1.316,12.202,22.776,33.352
-89.0,-23.0,1.329,12.21,22.779,33.351
-89.0,-22.0,1.342,12.218,22.783,33.349
-89.0,-21.0,1.355,12.226,22.786,33.348
-89.0,-20.0,1.368,12.235,22.789,33.346
-89.0,-19.0,1.381,12.243,22.793,33.345
-89.0,-18.0,1.394,12.251,22.796,33.344
-89.0,-17.0,1.407,12.259,22.799,33.342
-89.0,-16.0,1.42,12.267,22.803,33.341
-89.0,-15.0,1.433,12.275,22.806,33.34
-89.0,-14.0,1.446,12.284,22.809,33.338
-89.0,-13.0,1.459,12.292,22.813,33.337
-89.0,-12.0,1.472,12.3,22.816,33.335
-89.0,-11.0,1.485,12.308,22.819,33.334
-89.0,-10.0,1.499,12.316,22.823,33.333
-89.0,-9.0,1.512,12.325,22.826,33.331
-89.0,-8.0,1.525,12.333,22.83,33.33
-89.0,-7.0,1.538,12.341,22.833,33.328
-89.0,-6.0,1.551,12.349,22.836,33.327
-89.0,-5.0,1.564,12.357,22.84,33.326
-89.0,-4.0,1.577,12.365,22.843,33.324
-89.0,-3.0,1.59,12.374,22.846,33.323
-89.0,-2.0,1.603,12.382,22.85,33.321
-89.0,-1.0,1.616,12.39,22.853,33.32
-89.0,0.0,1.629,12.398,22.856,33.319
-89.0,1.0,1.642,12.406,22.86,33.317
-89.0,2.0,1.655,12.415,22.863,33.316
-89.0,3.0,1.668,12.423,22.866,33.315
-89.0,4.0,1.681,12.431,22.87,33.313
-89.0,5.0,1.694,12.439,22.873,33.312
-89.0,6.0,1.707,12.447,22.876,33.31
-89.0,7.0,1.72,12.455,22.88,33.309
-89.0,8.0,1.734,12.464,22.883,33.308
-89.0,9.0,1.747,12.472,22.886,33.306
-89.0,10.0,1.76,12.48,22.89,33.305
-89.0,11.0,1.773,12.488,22.893,33.303
-89.0,12.0,1.786,12.496,22.896,33.302
-89.0,13.0,1.799,12.504,22.9,33.301
-89.0,14.0,1.812,12.513,22.903,33.299
-89.0,15.0,1.825,12.521,22.906,33.298
-89.0,16.0,1.838,12.529,22.91,33.296
-89.0,17.0,1.851,12.537,22.913,33.295
-89.0,18.0,1.864,12.545,22.917,33.294
-89.0,19.0,1.877,12.554,22.92,33.292
-89.0,20.0,1.89,12.562,22.923,33.291
-89.0,21.0,1.903,12.57,22.927,33.29
-89.0,22.0,1.916,12.578,22.93,33.288
-89.0,23.0,1.929,12.586,22.933,33.287
-89.0,24.0,1.942,12.594,22.937,33.285
-89.0,25.0,2.252,13.051,23.535,34.022
-89.0,26.0,2.236,13.017,23.482,33.95
-89.0,27.0,2.221,12.982,23.428,33.879
-89.0,28.0,2.206,12.948,23.375,33.807
-89.0,29.0,2.31,12.973,23.325,33.683
-89.0,30.0,2.276,12.929,23.271,33.619
-89.0,31.0,2.243,12.885,23.217,33.556
-89.0,32.0,2.209,12.841,23.163,33.492
-89.0,33.0,2.176,12.797,23.109,33.428
-89.0,34.0,2.142,12.753,23.055,33.364
-89.0,35.0,2.109,12.71,23.001,33.3
-89.0,36.0,2.075,12.666,22.947,33.236
-89.0,37.0,2.044,12.71,23.065,33.428
-89.0,38.0,2.013,12.755,23.183,33.62
-89.0,39.0,1.981,12.8,23.302,33.811
-89.0,40.0,1.95,12.845,23.42,34.003
-89.0,41.0,1.919,12.889,23.538,34.194
-89.0,42.0,1.888,12.934,23.656,34.386
-89.0,43.0,1.857,12.979,23.774,34.578
-89.0,44.0,1.272,13.804,25.96,38.118
-89.0,45.0,1.167,13.953,26.355,38.757
-89.0,46.0,1.062,14.102,26.749,39.396
-89.0,47.0,0.956,14.251,27.144,40.035
-89.0,48.0,1.818,12.69,23.244,33.804
-89.0,49.0,1.797,12.691,23.265,33.845
-89.0,50.0,1.776,12.691,23.285,33.886
-89.0,51.0,1.755,12.691,23.306,33.927
-89.0,52.0,1.734,12.691,23.326,33.968
-89.0,53.0,1.713,12.691,23.347,34.009
-89.0,54.0,1.692,12.691,23.367,34.049
-89.0,55.0,1.671,12.691,23.388,34.09
-89.0,56.0,1.65,12.692,23.408,34.131
-89.0,57.0,1.629,12.692,23.429,34.172
-89.0,58.0,1.608,12.692,23.45,34.213
-89.0,59.0,1.587,12.692,23.47,34.254
-89.0,60.0,1.566,12.692,23.491,34.294
-89.0,61.0,1.545,12.692,23.511,34.335
-89.0,62.0,1.524,12.692,23.532,34.376
-89.0,63.0,1.503,12.693,23.552,34.417
-89.0,64.0,1.483,12.693,23.573,34.458
-89.0,65.0,1.462,12.693,23.593,34.499
-89.0,66.0,1.441,12.693,23.614,34.539
-89.0,67.0,1.42,12.693,23.634,34.58
-89.0,68.0,1.399,12.693,23.655,34.621
-89.0,69.0,1.378,12.693,23.675,34.662
-89.0,70.0,1.357,12.694,23.696,34.703
-89.0,71.0,1.336,12.694,23.717,34.744
-89.0,72.0,1.315,12.694,23.737,34.784
-89.0,73.0,1.294,12.694,23.758,34.825
-89.0,74.0,1.273,12.694,23.778,34.866
-89.0,75.0,1.252,12.694,23.799,34.907
-89.0,76.0,1.231,12.694,23.819,34.948
-89.0,77.0,1.21,12.694,23.84,34.989
-89.0,78.0,1.189,12.695,23.86,35.029
-89.0,79.0,1.168,12.695,23.881,35.07
-89.0,80.0,1.147,12.695,23.901,35.111
-89.0,81.0,1.126,12.695,23.922,35.152
-89.0,82.0,1.105,12.695,23.943,35.193
-89.0,83.0,1.084,12.695,23.963,35.234
-89.0,84.0,1.063,12.695,23.984,35.274
-89.0,85.0,1.042,12.696,24.004,35.315
-89.0,86.0,1.021,12.696,24.025,35.356
-89.0,87.0,1.0,12.696,24.045,35.397
-89.0,88.0,0.979,12.696,24.066,35.438
-89.0,89.0,0.958,12.696,24.086,35.479
-89.0,90.0,0.937,12.696,24.107,35.519
-89.0,91.0,0.916,12.696,24.127,35.56
-89.0,92.0,0.895,12.697,24.148,35.601
-89.0,93.0,0.874,12.697,24.168,35.642
-89.0,94.0,0.853,12.697,24.189,35.683
-89.0,95.0,0.832,12.697,24.21,35.724
-89.0,96.0,0.811,12.697,24.23,35.764
-89.0,97.0,0.672,12.906,24.775,36.644
-89.0,98.0,0.663,12.886,24.745,36.605
-89.0,99.0,0.653,12.866,24.716,36.566
-89.0,100.0,0.643,12.847,24.686,36.526
-89.0,101.0,0.607,12.744,24.519,36.295
-89.0,102.0,0.601,12.737,24.511,36.285
-89.0,103.0,0.596,12.73,24.503,36.276
-89.0,104.0,0.59,12.723,24.495,36.266
-89.0,105.0,0.584,12.716,24.486,36.257
-89.0,106.0,0.579,12.709,24.478,36.247
-89.0,107.0,0.573,12.702,24.47,36.238
-89.0,108.0,0.568,12.695,24.462,36.228
-89.0,109.0,0.555,12.737,24.557,36.377
-89.0,110.0,0.543,12.78,24.653,36.526
-89.0,111.0,0.53,12.822,24.748,36.674
-89.0,112.0,0.518,12.864,24.843,36.823
-89.0,113.0,0.505,12.906,24.939,36.971
-89.0,114.0,0.493,12.948,25.034,37.12
-89.0,115.0,0.48,12.991,25.13,37.269
-89.0,116.0,0.477,11.914,23.011,34.108
-89.0,117.0,0.465,11.807,22.81,33.814
-89.0,118.0,0.454,11.7,22.61,33.52
-89.0,119.0,0.443,11.592,22.409,33.227
-89.0,120.0,0.689,12.476,23.911,35.348
-89.0,121.0,0.7,12.455,23.859,35.265
-89.0,122.0,0.711,12.434,23.807,35.182
-89.0,123.0,0.722,12.413,23.755,35.098
-89.0,124.0,0.733,12.392,23.702,35.015
-89.0,125.0,0.744,12.371,23.65,34.932
-89.0,126.0,0.756,12.35,23.598,34.848
-89.0,127.0,0.767,12.329,23.546,34.765
-89.0,128.0,0.778,12.308,23.494,34.682
-89.0,129.0,0.789,12.287,23.441,34.598
-89.0,130.0,0.8,12.266,23.389,34.515
-89.0,131.0,0.811,12.245,23.337,34.432
-89.0,132.0,0.822,12.224,23.285,34.348
-89.0,133.0,0.833,12.203,23.232,34.265
-89.0,134.0,0.844,12.182,23.18,34.182
-89.0,135.0,0.856,12.161,23.128,34.098
-89.0,136.0,0.867,12.14,23.076,34.015
-89.0,137.0,0.878,12.119,23.024,33.932
-89.0,138.0,0.889,12.098,22.971,33.848
-89.0,139.0,0.9,12.077,22.919,33.765
-89.0,140.0,0.911,12.056,22.867,33.682
-89.0,141.0,0.922,12.035,22.815,33.598
-89.0,142.0,0.933,12.014,22.762,33.515
-89.0,143.0,0.944,11.993,22.71,33.432
-89.0,144.0,0.956,11.972,22.658,33.348
-89.0,145.0,0.967,11.951,22.606,33.265
-89.0,146.0,0.978,11.93,22.554,33.182
-89.0,147.0,0.989,11.909,22.501,33.098
-89.0,148.0,1.0,11.888,22.449,33.015
-89.0,149.0,1.011,11.867,22.397,32.932
-89.0,150.0,1.022,11.846,22.345,32.848
-89.0,151.0,1.033,11.825,22.292,32.765
-89.0,152.0,1.044,11.804,22.24,32.682
-89.0,153.0,1.056,11.783,22.188,32.598
-89.0,154.0,1.067,11.762,22.136,32.515
-89.0,155.0,1.078,11.741,22.084,32.432
-89.0,156.0,1.089,11.72,22.031,32.348
-89.0,157.0,1.1,11.699,21.979,32.265
-89.0,158.0,1.111,11.678,21.927,32.182
-89.0,159.0,1.122,11.657,21.875,32.098
-89.0,160.0,1.133,11.637,21.822,32.015
-89.0,161.0,1.144,11.616,21.77,31.932
-89.0,162.0,1.156,11.595,21.718,31.848
-89.0,163.0,1.167,11.574,21.666,31.765
-89.0,164.0,1.178,11.553,21.614,31.682
-89.0,165.0,1.189,11.532,21.561,31.598
-89.0,166.0,1.2,11.511,21.509,31.515
-89.0,167.0,1.211,11.49,21.457,31.432
-89.0,168.0,1.222,11.469,21.405,31.348
-89.0,169.0,1.282,11.637,21.677,31.726
-89.0,170.0,1.289,11.598,21.594,31.598
-89.0,171.0,1.295,11.559,21.511,31.471
-89.0,172.0,1.302,11.52,21.428,31.344
-89.0,173.0,1.284,12.033,22.456,32.889
-89.0,174.0,1.294,11.909,22.201,32.503
-89.0,175.0,1.304,11.784,21.947,32.118
-89.0,176.0,1.314,11.66,21.692,31.733
-89.0,177.0,1.325,11.536,21.437,31.348
-89.0,178.0,1.335,11.412,21.183,30.963
-89.0,179.0,1.345,11.288,20.928,30.577
-88.0,-180.0,7.379,36.231,64.36,92.545
-88.0,-179.0,-1.583,22.72,38.223,45.409
-88.0,-178.0,-1.58,22.69,38.182,45.38
-88.0,-177.0,-1.576,22.659,38.141,45.351
-88.0,-176.0,-1.573,22.628,38.099,45.322
-88.0,-175.0,-1.569,22.597,38.058,45.293
-88.0,-174.0,-1.566,22.567,38.016,45.264
-88.0,-173.0,-0.934,16.501,29.746,39.202
-88.0,-172.0,-0.933,16.488,29.728,39.19
-88.0,-171.0,-0.931,16.475,29.711,39.179
-88.0,-170.0,-0.929,16.462,29.694,39.168
-88.0,-169.0,-0.928,16.449,29.676,39.157
-88.0,-168.0,-0.926,16.436,29.659,39.145
-88.0,-167.0,-0.924,16.423,29.642,39.134
-88.0,-166.0,-0.923,16.41,29.625,39.123
-88.0,-165.0,-0.921,16.397,29.607,39.111
-88.0,-164.0,-0.919,16.384,29.59,39.1
-88.0,-163.0,-0.918,16.371,29.573,39.089
-88.0,-162.0,-0.916,16.358,29.555,39.078
-88.0,-161.0,-0.914,16.345,29.538,39.066
-88.0,-160.0,-0.913,16.332,29.521,39.055
-88.0,-159.0,-0.911,16.319,29.503,39.044
-88.0,-158.0,-0.909,16.306,29.486,39.032
-88.0,-157.0,-0.908,16.293,29.469,39.021
-88.0,-156.0,-0.906,16.28,29.452,39.01
-88.0,-155.0,-0.904,16.267,29.434,38.998
-88.0,-154.0,-0.903,16.254,29.417,38.987
-88.0,-153.0,-0.901,16.241,29.4,38.976
-88.0,-152.0,-0.979,16.694,30.219,40.007
-88.0,-151.0,-0.934,16.425,29.742,39.423
-88.0,-150.0,-0.888,16.155,29.265,38.839
-88.0,-149.0,-0.843,15.886,28.788,38.255
-88.0,-148.0,-0.797,15.617,28.311,37.671
-88.0,-147.0,-0.752,15.348,27.835,37.087
-88.0,-146.0,-0.706,15.078,27.358,36.503
-88.0,-145.0,-0.661,14.809,26.881,35.919
-88.0,-144.0,-0.615,14.54,26.404,35.334
-88.0,-143.0,-0.569,14.271,25.927,34.75
-88.0,-142.0,-0.524,14.001,25.451,34.166
-88.0,-141.0,-0.478,13.732,24.974,33.582
-88.0,-140.0,-0.433,13.463,24.497,32.998
-88.0,-139.0,-0.387,13.194,24.02,32.414
-88.0,-138.0,-0.342,12.924,23.543,31.83
-88.0,-137.0,-0.296,12.655,23.067,31.246
-88.0,-136.0,-0.251,12.386,22.59,30.662
-88.0,-135.0,-0.28,12.783,23.424,31.958
-88.0,-134.0,-0.261,12.75,23.412,32.041
-88.0,-133.0,-0.242,12.717,23.4,32.124
-88.0,-132.0,-0.224,12.684,23.389,32.206
-88.0,-131.0,-0.205,12.651,23.377,32.289
-88.0,-130.0,-0.186,12.618,23.365,32.372
-88.0,-129.0,-0.167,12.586,23.353,32.455
-88.0,-128.0,-0.148,12.553,23.341,32.537
-88.0,-127.0,-0.129,12.52,23.329,32.62
-88.0,-126.0,-0.11,12.487,23.318,32.703
-88.0,-125.0,-0.091,12.454,23.306,32.785
-88.0,-124.0,-0.072,12.421,23.294,32.868
-88.0,-123.0,-0.054,12.388,23.282,32.951
-88.0,-122.0,-0.035,12.355,23.27,33.034
-88.0,-121.0,-0.016,12.322,23.258,33.116
-88.0,-120.0,0.003,12.289,23.247,33.199
-88.0,-119.0,0.022,12.257,23.235,33.282
-88.0,-118.0,0.041,12.224,23.223,33.364
-88.0,-117.0,0.06,12.191,23.211,33.447
-88.0,-116.0,0.079,12.158,23.199,33.53
-88.0,-115.0,0.097,12.125,23.187,33.613
-88.0,-114.0,0.112,12.156,23.153,33.43
-88.0,-113.0,0.132,12.111,23.145,33.564
-88.0,-112.0,0.152,12.066,23.138,33.698
-88.0,-111.0,0.171,12.021,23.13,33.831
-88.0,-110.0,0.191,11.975,23.123,33.965
-88.0,-109.0,0.211,11.93,23.115,34.099
-88.0,-108.0,0.23,11.885,23.108,34.233
-88.0,-107.0,0.227,12.012,23.24,34.246
-88.0,-106.0,0.224,12.139,23.373,34.26
-88.0,-105.0,0.221,12.266,23.506,34.274
-88.0,-104.0,0.218,12.393,23.638,34.287
-88.0,-103.0,0.215,12.52,23.771,34.301
-88.0,-102.0,0.211,12.647,23.904,34.314
-88.0,-101.0,0.202,12.523,23.814,34.412
-88.0,-100.0,0.198,12.61,23.911,34.439
-88.0,-99.0,0.194,12.696,24.008,34.466
-88.0,-98.0,0.19,12.783,24.105,34.493
-88.0,-97.0,0.186,12.869,24.202,34.52
-88.0,-96.0,0.181,12.956,24.298,34.547
-88.0,-95.0,0.177,13.042,24.395,34.574
-88.0,-94.0,0.173,13.129,24.492,34.601
-88.0,-93.0,0.169,13.216,24.589,34.629
-88.0,-92.0,0.165,13.302,24.686,34.656
-88.0,-91.0,0.161,13.389,24.783,34.683
-88.0,-90.0,0.156,13.475,24.879,34.71
-88.0,-89.0,0.152,13.562,24.976,34.737
-88.0,-88.0,0.148,13.648,25.073,34.764
-88.0,-87.0,0.144,13.735,25.17,34.791
-88.0,-86.0,0.14,13.821,25.267,34.818
-88.0,-85.0,0.136,13.908,25.364,34.845
-88.0,-84.0,0.132,13.995,25.46,34.873
-88.0,-83.0,0.127,14.081,25.557,34.9
-88.0,-82.0,0.123,14.168,25.654,34.927
-88.0,-81.0,0.119,14.254,25.751,34.954
-88.0,-80.0,0.121,14.99,26.514,35.233
-88.0,-79.0,0.113,14.72,26.245,35.122
-88.0,-78.0,0.106,14.45,25.975,35.01
-88.0,-77.0,0.099,14.18,25.706,34.899
-88.0,-76.0,0.091,13.91,25.437,34.788
-88.0,-75.0,0.084,13.64,25.168,34.676
-88.0,-74.0,0.077,13.37,24.898,34.565
-88.0,-73.0,0.069,13.1,24.629,34.454
-88.0,-72.0,0.062,12.83,24.36,34.343
-88.0,-71.0,0.055,12.56,24.091,34.231
-88.0,-70.0,0.047,12.29,23.821,34.12
-88.0,-69.0,0.04,12.02,23.552,34.009
-88.0,-68.0,0.033,11.75,23.283,33.897
-88.0,-67.0,0.025,11.48,23.014,33.786
-88.0,-66.0,0.018,11.21,22.744,33.675
-88.0,-65.0,0.011,10.94,22.475,33.563
-88.0,-64.0,0.003,10.67,22.206,33.452
-88.0,-63.0,0.185,11.384,22.909,33.908
-88.0,-62.0,0.244,11.464,22.985,33.998
-88.0,-61.0,0.304,11.543,23.06,34.088
-88.0,-60.0,0.363,11.622,23.136,34.178
-88.0,-59.0,0.423,11.701,23.211,34.268
-88.0,-58.0,0.482,11.78,23.287,34.358
-88.0,-57.0,0.542,11.859,23.363,34.448
-88.0,-56.0,0.601,11.938,23.438,34.538
-88.0,-55.0,0.661,12.018,23.514,34.628
-88.0,-54.0,0.72,12.097,23.589,34.718
-88.0,-53.0,0.78,12.176,23.665,34.808
-88.0,-52.0,0.839,12.255,23.741,34.898
-88.0,-51.0,0.899,12.334,23.816,34.988
-88.0,-50.0,0.958,12.413,23.892,35.078
-88.0,-49.0,1.018,12.492,23.967,35.168
-88.0,-48.0,1.077,12.572,24.043,35.258
-88.0,-47.0,1.137,12.651,24.119,35.348
-88.0,-46.0,1.197,12.73,24.194,35.438
-88.0,-45.0,1.256,12.809,24.27,35.528
-88.0,-44.0,1.316,12.888,24.345,35.618
-88.0,-43.0,1.375,12.967,24.421,35.708
-88.0,-42.0,1.423,12.79,24.042,35.111
-88.0,-41.0,1.485,12.918,24.205,35.333
-88.0,-40.0,1.547,13.047,24.368,35.555
-88.0,-39.0,1.608,13.175,24.531,35.778
-88.0,-38.0,1.67,13.304,24.694,36.0
-88.0,-37.0,1.732,13.432,24.857,36.222
-88.0,-36.0,1.794,13.561,25.02,36.444
-88.0,-35.0,1.755,13.612,25.118,36.62
-88.0,-34.0,1.717,13.663,25.215,36.797
-88.0,-33.0,1.678,13.714,25.312,36.973
-88.0,-32.0,1.639,13.765,25.41,37.149
-88.0,-31.0,1.601,13.816,25.507,37.325
-88.0,-30.0,1.562,13.867,25.605,37.501
-88.0,-29.0,1.75,13.754,25.408,37.054
-88.0,-28.0,1.748,13.778,25.458,37.13
-88.0,-27.0,1.746,13.803,25.508,37.206
-88.0,-26.0,1.744,13.827,25.558,37.281
-88.0,-25.0,1.742,13.852,25.608,37.357
-88.0,-24.0,1.74,13.876,25.658,37.432
-88.0,-23.0,1.738,13.901,25.708,37.508
-88.0,-22.0,1.736,13.925,25.758,37.584
-88.0,-21.0,1.734,13.95,25.808,37.659
-88.0,-20.0,1.732,13.974,25.858,37.735
-88.0,-19.0,1.73,13.999,25.908,37.811
-88.0,-18.0,1.729,14.023,25.958,37.886
-88.0,-17.0,1.727,14.048,26.008,37.962
-88.0,-16.0,1.725,14.072,26.058,38.037
-88.0,-15.0,1.723,14.097,26.108,38.113
-88.0,-14.0,1.721,14.121,26.158,38.189
-88.0,-13.0,1.719,14.146,26.208,38.264
-88.0,-12.0,1.717,14.17,26.258,38.34
-88.0,-11.0,1.715,14.195,26.308,38.416
-88.0,-10.0,1.713,14.219,26.358,38.491
-88.0,-9.0,1.711,14.244,26.408,38.567
-88.0,-8.0,1.527,14.086,26.275,38.459
-88.0,-7.0,1.625,14.211,26.426,38.636
-88.0,-6.0,1.723,14.336,26.577,38.812
-88.0,-5.0,1.821,14.46,26.727,38.988
-88.0,-4.0,1.919,14.585,26.878,39.165
-88.0,-3.0,2.017,14.709,27.028,39.341
-88.0,-2.0,2.115,14.834,27.179,39.517
-88.0,-1.0,2.213,14.958,27.33,39.694
-88.0,0.0,2.311,15.083,27.48,39.87
-88.0,1.0,2.409,15.207,27.631,40.046
