Lat,Long,Vp,Vs,Rho
-89.0,-180.0,10.39691,5.27284,3875.8
-89.0,-179.0,5.56979,3.24747,2520.56
-89.0,-178.0,5.570060000000001,3.24763,2520.69
-89.0,-177.0,5.57032,3.24778,2520.81
-89.0,-176.0,5.57059,3.2479400000000003,2520.93
-89.0,-175.0,5.57086,3.2480900000000004,2521.05
-89.0,-174.0,5.57113,3.24825,2521.17
-89.0,-173.0,5.5714,3.24841,2521.29
-89.0,-172.0,5.806649999999999,3.34929,2589.63
-89.0,-171.0,5.80624,3.34916,2589.55
-89.0,-170.0,5.80583,3.34902,2589.48
-89.0,-169.0,5.80542,3.34889,2589.4
-89.0,-168.0,5.821020000000001,3.30719,2543.08
-89.0,-167.0,5.82057,3.30717,2543.14
-89.0,-166.0,5.82011,3.3071599999999997,2543.2
-89.0,-165.0,5.81966,3.30715,2543.26
-89.0,-164.0,5.8191999999999995,3.30714,2543.32
-89.0,-163.0,5.81875,3.30712,2543.38
-89.0,-162.0,5.81829,3.30711,2543.44
-89.0,-161.0,5.81784,3.3070999999999997,2543.5
-89.0,-160.0,5.81738,3.30709,2543.56
-89.0,-159.0,5.81693,3.30707,2543.62
-89.0,-158.0,5.816470000000001,3.30706,2543.68
-89.0,-157.0,5.816020000000001,3.3070500000000003,2543.73
-89.0,-156.0,5.8155600000000005,3.3070399999999998,2543.79
-89.0,-155.0,5.81511,3.30702,2543.85
-89.0,-154.0,5.814649999999999,3.30701,2543.91
-89.0,-153.0,5.8142,3.307,2543.97
-89.0,-152.0,5.81375,3.30699,2544.03
-89.0,-151.0,5.81329,3.3069699999999997,2544.09
-89.0,-150.0,5.8128400000000005,3.30696,2544.15
-89.0,-149.0,5.81238,3.3069499999999996,2544.21
-89.0,-148.0,5.81193,3.30694,2544.27
-89.0,-147.0,5.81147,3.30692,2544.33
-89.0,-146.0,5.81102,3.30691,2544.39
-89.0,-145.0,5.810560000000001,3.3069,2544.45
-89.0,-144.0,5.81011,3.3068899999999997,2544.51
-89.0,-143.0,5.8096499999999995,3.30687,2544.57
-89.0,-142.0,5.8092,3.30686,2544.63
-89.0,-141.0,5.808739999999999,3.30685,2544.69
-89.0,-140.0,5.80829,3.3068400000000002,2544.75
-89.0,-139.0,5.80783,3.30682,2544.81
-89.0,-138.0,5.80738,3.30681,2544.87
-89.0,-137.0,5.80692,3.3068,2544.93
-89.0,-136.0,5.80647,3.30679,2544.99
-89.0,-135.0,5.806010000000001,3.3067699999999998,2545.05
-89.0,-134.0,5.805560000000001,3.30676,2545.11
-89.0,-133.0,5.8051,3.30675,2545.17
-89.0,-132.0,5.80465,3.3067399999999996,2545.23
-89.0,-131.0,5.804189999999999,3.30672,2545.29
-89.0,-130.0,5.8037399999999995,3.30671,2545.35
-89.0,-129.0,5.80328,3.3066999999999998,2545.41
-89.0,-128.0,5.80283,3.30669,2545.47
-89.0,-127.0,5.80237,3.30667,2545.53
-89.0,-126.0,5.80192,3.30666,2545.59
-89.0,-125.0,5.80146,3.3066500000000003,2545.65
-89.0,-124.0,5.80101,3.30664,2545.71
-89.0,-123.0,5.80055,3.3066199999999997,2545.77
-89.0,-122.0,5.8001000000000005,3.30661,2545.82
-89.0,-121.0,5.79964,3.3066,2545.88
-89.0,-120.0,5.799189999999999,3.3065900000000004,2545.94
-89.0,-119.0,5.80565,3.28862,2526.03
-89.0,-118.0,5.80453,3.2903200000000004,2527.99
-89.0,-117.0,5.80342,3.29202,2529.96
-89.0,-116.0,5.80231,3.29372,2531.92
-89.0,-115.0,5.77421,3.30811,2551.55
-89.0,-114.0,5.77726,3.3078600000000002,2550.79
-89.0,-113.0,5.7803,3.3076,2550.03
-89.0,-112.0,5.78335,3.30734,2549.27
-89.0,-111.0,5.7863999999999995,3.30708,2548.52
-89.0,-110.0,5.7894499999999995,3.30682,2547.76
-89.0,-109.0,5.79249,3.3065700000000002,2547.0
-89.0,-108.0,5.79554,3.30631,2546.24
-89.0,-107.0,5.796189999999999,3.3066799999999996,2546.52
-89.0,-106.0,5.79683,3.3070500000000003,2546.81
-89.0,-105.0,5.797479999999999,3.30742,2547.09
