SiO2,TiO2,Al2O3,FeO,MgO,CaO,Na2O,K2O,H2O_Total,CO2,MnO,P2O5,Li,Be,B,F,S,Cl,Sc,V,Cr,Co,Ni,Cu,Zn,Ga,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Pd,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
48.381772527924696,1.708879218811156,13.408435314071236,15.010320218506264,5.908464819405277,10.12595485884608,1.9098068103128167,0.5192287265537971,-1.0,-1.0,0.22877894081872285,0.21286388406611603,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,37.374584999999996,296.43002700000005,121.24949099999999,59.2189885,82.61051566666667,114.33228166666667,125.32,-1.0,-1.0,-1.0,8.641701666666668,177.061032,25.296123333333338,112.71,7.218469,-1.0,-1.0,8.828710666666666,22.12542666666667,3.0162030000000004,14.773534666666668,3.7960166666666666,1.3601733333333332,4.666104,0.740549,4.843859999999999,0.9957693333333334,2.8278696666666665,0.40985,2.608878666666667,0.39215833333333333
46.0694103992572,1.3842638165596868,14.744987788139357,13.75006569217495,7.625350106979937,7.665013826652134,2.657469218037221,2.435352387872916,-1.0,-1.0,0.1665876226232288,0.15568009971337451,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,26.885739666666666,268.58038533333337,148.355344,56.135898000000005,115.48686100000002,177.73389066666667,135.42,-1.0,-1.0,-1.0,88.97657733333334,171.25089433333335,25.220640666666668,133.14,6.593390666666667,-1.0,-1.0,12.906892333333332,28.329070666666667,3.5199130000000003,15.823864333333333,3.893644666666667,1.188484,4.713963666666666,0.7389060000000001,4.803369666666666,0.996476,2.8149216666666668,0.4067046666666667,2.617444,0.38944833333333334
43.18198254704117,4.214887323374643,12.615854114272437,16.12568441312436,5.036407902311911,8.284741993152137,2.1754898039572157,2.238072387358725,-1.0,-1.0,0.3288069064428486,2.347343564726439,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15.213625666666667,100.797108,3.2041975000000003,34.249403666666666,6.348433,37.3282705,136.56,-1.0,-1.0,-1.0,80.68333266666666,753.6343353333333,56.352433999999995,177.43,35.704230333333335,-1.0,-1.0,55.620410666666665,141.27562966666665,18.928234333333332,90.27556933333334,18.240007666666667,7.130189333333333,17.052617666666666,2.180336,11.903886666666665,2.163915333333333,5.600552666666666,0.7517266666666668,4.4288799999999995,0.5516083333333334
47.68825735863477,1.754651703019881,13.818252028841222,11.928420172914889,6.766110558019328,10.612733178467634,3.0378455566617393,0.6420900835671404,-1.0,-1.0,0.20613951991633228,0.21205740087086813,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,32.93968,310.6604863333334,140.40982,44.508857,70.52771833333334,88.69912966666668,119.52,-1.0,-1.0,-1.0,18.236712333333333,297.642815,37.562006000000004,120.77,11.270433333333335,-1.0,-1.0,9.160113666666666,24.197950666666667,3.539855333333333,18.310693666666666,5.5821406666666675,1.8020526666666665,6.897793,1.107139,7.056668666666667,1.4178433333333331,4.007807666666666,0.555631,3.4568336666666664,0.47613633333333333
48.46351586003595,1.3056290104387507,14.240511539160458,13.41425183232207,5.941010055121449,9.563334443838714,2.93567498536152,0.8070618349587094,-1.0,-1.0,0.20300938881822037,0.17016963474468474,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,27.003545000000003,259.585783,135.29055,51.44719166666667,109.54909433333334,238.73609933333333,127.21,-1.0,-1.0,-1.0,21.24301266666667,159.18158933333333,26.145705333333336,124.02,5.836497333333334,-1.0,-1.0,13.755951000000001,29.175898,3.5677529999999997,15.746844666666666,3.7057663333333335,1.197204,4.506423000000001,0.7421890000000001,4.964759333333333,1.0458856666666667,3.041311666666667,0.439599,2.8488016666666667,0.42954333333333333
47.897513513513516,2.250677698927978,12.586352609592833,15.793683124601117,5.0444515577029545,9.078030701092155,2.1010289395540793,1.3973824550807792,-1.0,-1.0,0.24379864109919977,0.28145859378932003,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,37.94307800000001,378.42153533333334,109.95965799999999,41.39334433333333,52.40345533333334,89.85115133333333,167.7,-1.0,-1.0,-1.0,35.375689666666666,129.77714733333335,42.574046,180.03,9.33975,-1.0,-1.0,14.417957333333334,33.65103333333334,4.456548333333334,21.284259000000002,5.741384,1.8448113333333334,7.477795666666666,1.211048,8.059147333333334,1.6866349999999999,4.884012666666667,0.714619,4.683084666666667,0.69908
48.43182547601855,2.367335556472408,13.21642582568334,16.24839067580275,4.982081290355852,8.283621251160392,2.716378960288808,0.9167522341413098,-1.0,-1.0,0.24535698091799893,0.2782081248066013,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,46.4,-1.0,-1.0,-1.0,41.995,41.843,135.688,-1.0,-1.0,-1.0,24.93,140.2,55.15,190.31,9.43,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
48.771296210670315,1.761224370725034,14.313553002735977,11.852685840260781,6.668983980848153,10.054194459644322,2.986423932968536,0.6941471545827632,-1.0,-1.0,0.19292915184678522,0.20088499316005473,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,33.83615766666667,320.19233433333335,151.599064,46.93542133333333,76.79259266666666,141.08831966666665,96.6,-1.0,-1.0,-1.0,10.106825333333333,246.190505,23.773122,115.73,8.173414999999999,-1.0,-1.0,9.267311,22.649506333333335,3.1252556666666664,15.168026666666668,3.865276,1.3552466666666667,4.668409666666666,0.7239756666666667,4.622669999999999,0.936195,2.623515333333333,0.36531766666666665,2.349759666666667,0.346864
49.17277980897918,1.303695734336594,15.024298401805869,13.096636589116196,5.760308057888136,8.590281725106596,3.3576127182342614,0.878404747830449,-1.0,-1.0,0.18681005949335341,0.16296196679207425,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,26.563152666666667,262.63126066666666,125.927796,50.10568766666666,108.71025866666668,177.826461,98.488,-1.0,-1.0,-1.0,21.25792866666667,203.55053199999998,25.89944733333333,116.88,5.620353333333333,-1.0,-1.0,11.518707999999998,25.89590266666667,3.1859916666666663,14.335046,3.5190106666666665,1.1966106666666665,4.440861,0.7092510000000001,4.732651,0.9918026666666666,2.91666,0.4161683333333333,2.762379333333333,0.412663
48.759794031869056,1.38219089612788,15.021996953165209,12.5199837688457,5.629268466087413,8.61257178256789,3.6828570961621914,1.201083089723795,-1.0,-1.0,0.19404407829009113,0.15822055614422817,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,31.914562000000004,280.220437,129.24003833333333,50.73995766666667,105.44362133333334,105.97266633333334,106.156,-1.0,-1.0,-1.0,27.180829,175.3602983333333,28.50361666666667,125.24,8.455499000000001,-1.0,-1.0,13.229602,30.123720333333335,3.6991560000000003,16.464595333333335,3.9210243333333334,1.235511,4.583963999999999,0.751646,5.136231333333334,1.0694786666666667,3.197039,0.47201566666666667,3.196968,0.47637833333333335
50.81385479833102,0.9472662272479895,14.365386369958276,10.671411567235603,6.50911463989841,9.286574445183529,3.369377468706537,0.7344530204994861,-1.0,-1.0,0.16926073653020504,0.11482014875733207,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,34.052276000000006,262.8050095,112.414159,48.689244,83.04947566666668,64.44226633333334,102.857,-1.0,-1.0,-1.0,13.492890000000001,228.097215,21.008928333333333,97.63,4.869363666666667,-1.0,-1.0,10.211181333333334,22.53839766666667,2.782474333333333,12.551778333333333,2.982436,0.9879720000000001,3.5263783333333336,0.5711720000000001,3.878276666666667,0.8065853333333334,2.3554766666666667,0.3390176666666667,2.2127856666666665,0.331979
